CODIGO|DESCRIPCION|ABREVIATURA
53600 |GABRIELA AQUILINA ULLUA                                                                             |G. A. ULLUA         
53700 |RUTA PROV.Nº1 KM0                                                                                   |RUTA1 KM0           
53800 |RUTA PROV.Nº1 KM1.5                                                                                 |RUTA1 KM1.5         
53900 |RUTA PROV.Nº1 KM3                                                                                   |RUTA1 KM3           
54000 |RUTA PROV.Nº1 KM0.5                                                                                 |RUTA1 KM0.5         
54100 |RUTA PROV.Nº1 KM2                                                                                   |RUTA1 KM2           
54200 |RUTA PROV.Nº1 KM3.5                                                                                 |RUTA1 KM3.5         
54300 |RUTA PROV.Nº1 KM1                                                                                   |RUTA1 KM1           
54400 |RUTA PROV.Nº1 KM2.5                                                                                 |RUTA1 KM2.5         
54600 |RUTA PROV.Nº1 KM4                                                                                   |RUTA1 KM4           
09050A|BORDE OESTE BARRANQUITAS AL SUR DE AUTOPISTA                                                        |PJE S/N 90,50 A     
09275A|BORDE OESTE BARRANQUITAS AL NORTE DE AUTOPISTA                                                      |PJE DNAL S/N 92,75 A
07925 |BORDE OESTE BARRANQUITAS PARALELO AL NORTE DE AUTOPISTA                                             |PJE DGNAL 79,25     
03850 |S/PL158308 D.P.V.U. PLANES 6042 Y 6118- R.I.19/09                                                   |PJE S/N 38.50       
05050B|(S-N) PJE RIVADAVIA-ORDENANZA Nº11886                                                               |PJE. RIVADAVIA      
03650 |PJE S/N 36,50 D.P.V.U. PL Nº158308 / (TRAMO 8800 AL 8999 MI TIERRA MI CASA)                         |PJE S/N 36,50       
35560 |E/ CJON LOS CANILLITAS Y SAN FCO DE ASIS - PL 154269                                                |PJE S/N 355,60      
36975 |DESDE CALLE COLEC 365,25 HASTA MOCOVI                                                               |CALLE S/N 369,75    
37280 |DESDE PJE 369,50 HASTA MOCOVI                                                                       |PJE S/N 372,80      
37150 |DESDE PJE 372,80 HASTA PJE 376,50                                                                   |PJE S/N 371,50      
37470 |DESDE PJE 369,50 HASTA PJE 371,50                                                                   |PJE S/N 374,70      
32425 |ENTRE CALLE MOCOVI   HASTA LOS ZORZALES.                                                            |PCA.S/N.            
34800 |ENTRE CALLE COD. 355-357 B                                                                          |PUBLICA             
41500 |ENTRE CALLE COD. 300-499                                                                            |CJÓN. LABORIE       
35000A|ENTRE CALLE MEPENES COD 371Y NTRA SRA. DE GUADALUPE COD.355 S/ORD.11709/2010                        |COCÚ                
35050 |E/ PROLONG. CALLE COD. 357A-359 A                                                                   |PJE. PUBLICO        
35200 |ENTRE CALLE COD. 407-415                                                                            |LOS DAMASCOS        
35250 |ENTRE CALLE COD. 405-407                                                                            |PJE. PUBLICO        
35400A|ENTRE CALLE COD. 355-375                                                                            |LOS GUARANIES       
35600 |ENTRE CALLE COD. 369-371                                                                            |PUBLICA             
35800 |ENTRE CALLE COD.361B-363 Y ENTRE COD. 377-381 Y ENTRE COD. 391-405                                  |LAS MAGNOLIAS       
35450 |ENTRE CALLE COD. 391-399(SE CAMBIÓ Nº PASAJE POR LOS PERALES)                                       |PJE. PUBLICO        
35650 |ENTRE CALLE COD. 391-399                                                                            |LAS ORQUIDEAS       
34850 |ENTRE CALLE COD. 391-405                                                                            |LAS VIOLETAS        
35850 |ENTRE CALLE COD. 391-399-LAS HORTENSIAS                                                             |L HORTENSIAS        
36050A|ENTRE CALLE COD. 391-399                                                                            |LAS AZALEAS         
36200 |ENTRE CALLE COD 353-RUTA PROV. Nº 1- SAN FRANCISCO DE ASIS                                          |S.F.DE ASIS         
36250 |ENTRE CALLE COD. 391-399(SE CAMBIÓ Nº PASAJE POR LAS DALIAS)                                        |PJE. PUBLICO        
36400 |E/ CALLE COD.377-381 Y E/ CALLE COD.391-399 Y E/ CALLE COD. 405-409                                 |LAS DALIAS          
36600A|ENTRE CALLE COD. 357B-361B-CALLEJON DE LOS BIOQUIMICOS                                              |CJON. BIOQUIM       
36800A|ENTRE CALLE COD. 361B-365                                                                           |MBEGUÁES            
36850 |ENTRE CALLE COD. 381-391                                                                            |PJE. PUBLICO        
37000 |ENTRE PROLONGACION DE CALLE LOS INGAS COD.405-Y  LAS MACLURAS 391,00 S/ORD. 11709/2010              |GARABATOS           
37050 |ENTRE CALLE COD. 381-391                                                                            |PJE. PUBLICO        
37200 |ENTRE CALLE  CORONDAS-CHANAES Y ENTRE CALLE MOCOVI - LOS JAZMINES                                   |GUAYCURÚES          
37225 |ENTRE RUTA PROV Nº 1-369.50                                                                         |PUBLICA             
37400 |E/ PROLONG  CALLE LOS INGAS COD. 405 Y MOCOVI-373  S/ORD.11709/2010-                                |GUARANIMÁ           
37600A|ENTRE PROLG.  CALLE MOCOVI 373- LOS JAZMINES 379 S/ORD. 11709/2010-                                 |PALOS CRUZ          
37625 |ENTRE CALLE COD. 345.25-361B-CALLEJON DE LOS CANILLITAS                                             |C. CANILLITAS       
37675 |ENTRE CALLE COD. 376.25-RUTA PROV Nº1                                                               |LOS CHARRUAS        
37800 |ENTRE CALLE MOCOVI 373-LOS JAZMINES 379 S/ORD. 11709/2010-                                          |POROROCAS           
37825 |ENTRE CALLE COD. 345.25-351.25                                                                      |PUBLICA             
37875 |ENTRE CALLE COD. 353-RUTA PROV. Nº1                                                                 |GUINUANES           
38000A|ENTRE CALLE COD. 345.25-347.25-RAMON SUREDA BORDAS                                                  |RAMON SUREDA        
38200A|MANZ. 8782 Y ENTRE CALLES COD. 347.25-351.25                                                        |PUBLICA             
39000A|ENTRE RUTA PROV. 1-PROLONG. CALLE COD. 363                                                          |PUBLICA             
39200A|ENTRE RUTA PROV. 1-PROLONG. CALLE COD. 363                                                          |PUBLICA             
35725 |RUTA PROVINCIAL Nº 1 TEOFILO MADREJÓN                                                               |T. MADREJÓN         
32375 |RUTA NACIONAL Nº 168 CIUDADES HERMANAS                                                              |C.HERMANAS          
33100 |E/ RIO COLASTINÉ-CALLE COD. 326 A                                                                   |PUBLICA             
34600B|ENTRE CALLE COD.373-379 Y ENTRE CALLE COD. 385-PROLONG. CALLE COD.405                               |LAS TALAS           
33300 |ENTRE RIO COLASTINE-CALLE COD. 326 A                                                                |PUBLICA             
35000B|EN MANZANA 12371 Y ENTRE CALLE COD. 391-399                                                         |LOS DURAZNOS        
33500 |ENTRE RIO COLASTINE-CALLE COD. 326 A                                                                |PUBLICA             
33700 |ENTRE RIO COLASTINE-CALLE COD. 322 A                                                                |PUBLICA             
34100 |ENTRE RIO COLASTINE-CALLE COD. 324 A                                                                |PUBLICA             
34300 |ENTRE RIO COLASTINE-CALLE COD. 326 A                                                                |PUBLICA             
34525 |ENTRE CALLE COD. 362-RUTA NAC. 168                                                                  |PUBLICA             
34725A|E/RUTA NAC. Nº 168-CALLE COD.390G-URBANO PEDRIEL                                                    |U. PEDRIEL          
35125 |E/ PROLONG.CALLE COD.376.25-384A -CALLE COD. 386G-388G-FELIPE CAITO                                 |FELIPE CAITO        
35300 |ENTRE CALLE COD. 346 A- HASTA CIUDADES HERMANAS                                                     |PROF. A. D´AURIA    
35500 |E/ CALLE COD. 346 A HASTA 384 A (BOHANES)                                                           |SRA GUADALUPE       
35525 |ENTRE PROL. CALLE COD.390 A-378.75                                                                  |MATACOS             
35400B|E/CALLE COD. 377-381 Y MANZ. 12371-CALLE 399 Y CALLE  409-415                                       |LOS PERALES         
35325 |ENTRE CALLE COD. 376.75-378.75                                                                      |PUBLICA             
35700B|ENTRE CALLE COD. 342-376.75                                                                         |CORONDAS            
35900A|ENTRE PROLONG CALLE COD 330-CALLE COD. 362                                                          |CARCARAES           
36600B|ENTRE CALLE COD. 391-409                                                                            |LOS CLAVELES        
36800B|ENTRE CALLE MOCOVI HASTA 381,00                                                                     |LAS CAMELIAS        
38000B|ENTRE CALLE MOCOVI 373-LOS JAZMINES 379 S/ORD.11709/2010-                                           |PEZUÑAS DE VACA     
35950 |E/LAS PROLGS DE CALLES,  MADRESELVAS COD. 334-Y LAS GUINDAS COD 340S/ORD.11709/2010-                |CANELONES           
38000C|ENTRE CALLE COD. 391-PROLONG. 405 S/ORD-11709/2010-                                                 |MISTOLES            
38200B|ENTRE RUTA PROV. Nº1-MANZANA 10382                                                                  |PUBLICA             
38200C|ENTRE CALLE COD. 377-379 /S. ORD. 11709/2010-                                                       |QUEBRACHOS          
38400B|ENTRE CALLE COD. 377-379/S. ORD. 11709/2010-                                                        |SANGRE DE DRAGO     
38600B|ENTRE CALLE 377-379/ S. ORD. 11709/2010-                                                            |SAUCES              
38800B|ENTRE CALLE COD. 377-379 / S. ORD. 11709/2010-                                                      |TUSCAS              
39000B|ENTRE CALLE COD. 377-379                                                                            |PUBLICA             
39200B|ENTRE CALLE COD.377-379                                                                             |PUBLICA             
32200A|ENTRE RUTA Nº168-CALLE COD.339.75 Y CALLE COD. 341-343                                              |PUBLICA             
35900B|ENTRE CALLE COD. 388A-390A                                                                          |PUBLICA             
32400A|ENTRE CALLE COD. 339.75-PROLONG. CALLE COD.345                                                      |PUBLICA             
32600A|ENTRE RUTA NAC. Nº168-PROLONGACIÓN CALLE 345                                                        |PUBLICA             
35700A|E/ LAS PRLGS DE LAS MADRESELVAS 334,Y LOS MANDARINOS 342-S/ORD.11709/2010-                          |IGARI               
35700C|ENTRE CALLE COD.388A-392A                                                                           |PUBLICA             
36100A|E/ LAS  PROLGS. DE CALLE LOS ALISOS.330 Y QUERANDÍES 346 A S/ORD.11709/2010-                        |CAMBAY              
36100B|ENTRE CALLE COD.358-RUTA PROV. Nº1                                                                  |CHANAES             
36300 |ENTRE CALLE COD.330-334 Y CALLE COD. 354A-RUTA PROV.Nº1                                             |TIMBUES             
36500 |ENTRE PROLONG. CALLE COD. 324-334 Y CALLE COD. 354A-RUTA PROV. Nº1                                  |QUILOAZAS           
36050B|ENTRE CALLE COD. 399-403                                                                            |LOS IRUPÉ           
36700 |E/ PROLONG. CALLE LOS CHAÑARES COD. 326B Y LAS MADRESELVAS COD.334-S/ORD.11709/2010-                |BREAS               
36900 |E/ PROL.CALLES 326B-334 Y 346A-RUTA PROV. Nº1 Y  334.50 A PROL. LAS GUINDAS                         |MOCORETÁES          
36950 |EN MANZANA 10778 Y DESDE PJE 374,70 HASTA PJE 376,50                                                |PJE. S/N 369,50     
37100 |E/ PROLONG. CALLE COD. 324B-RUTA PROV. Nº1                                                          |MEPENES             
37300 |E/ CALLE LAS ENCINAS 324B-RUTA PROV. Nº1 Y  MZ Nº11372- POROROCAS                                   |CJON. MOCOVI        
37500 |E/ CALLE LAS ENCINAS 324B-RUTA PROV. Nº1 Y LOS MEMBRILLOS - PROL 382C                               |LOS ALGARROBOS      
37700 |ENTRE PROLONG. CALLE COD.316-PROLONG. CALLE COD.394                                                 |LOS ZORZALES        
37900 |ENTRE PROLONG. CALLE COD.328-RUTA PROV. Nº1 Y PROLONG. CALLE COD.370-394                            |LOS JAZMINES        
38100 |E/ PROLONG. CALLES COD.328-PROLOG.CALLE COD. 394-LOS EUCALIPTUS                                     |L EUCALIPTUS        
38300 |ENTRE PROLONG.CALLE COD. 316-RUTA PROV. Nº1-BV. LAS GREVILEAS                                       |LAS GREVILEAS       
38500 |E/ RUTA PROV. Nº1-354B-MONS. MARIO MENDOZA                                                          |MONS. MENDOZA       
38700 |ENTRE PROLONG. CALLE COD. 316-RUTA PROV. Nº1-LOS CARDENALES                                         |L CARDENALES        
38900 |ENTRE RUTA PROV. Nº 1-PROLONG. CALLE COD. 358                                                       |LOS CURUPIES        
39100 |ENTRE PROLONG. CALLE COD. 330-380C                                                                  |LAS MACLURAS        
39300 |ENTRE PROLONG.CALLE COD. 328-RUTA PROV. Nº1                                                         |LOS FRESNOS         
39500 |E/PROLONG. CALLE COD. 328-RUTA PROV. Nº1 Y E/CALLE COD. 374-380C-LOS GUAYACANES                     |L GUAYACANES        
39900 |ENTRE PROLONG.CALLE COD.324B-380C                                                                   |LOS ÑANDUBAY        
40100A|E/ PROLGS DE.CALLES .310- 318 ,322-Y AL NTE LOS CHAÑARES  CD.326B S/ORD.11709/2010-                 |VIRARÓ.             
40100B|ENTRE CALLE COD. 348.50-360.50                                                                      |LAS FRESIAS         
40300A|ENTRE PROLONG. CALLE COD. 310-332-LOS IBIRA PITA                                                    |L IBIRA PITA        
40300B|ENTRE CALLE COD. 346B-380C                                                                          |LAS DIAMELAS        
40500 |ENTRE CALLE COD.328-332 Y ENTRE CALLE COD. 346B-PROLONG. CALLE COD. 370                             |LOS INGA            
40700 |ENTRE PROLONG.CALLE COD310-PROLONG. CALLE COD. 356.50-LAS CASUARINAS                                |L CASUARINAS        
40900 |ENTRE RUTA PROV. Nº1-PROLONG. CALLE COD.384B                                                        |LOS URUNDAY         
41100 |ENTRE CALLE COD.310-RUTA PROV. Nº1 Y ENTRE CALLE COD.326B-334                                       |LAS MORAS           
41300 |ENTRE RUTA PROV. Nº1-CALLE COD. 328                                                                 |LOS ABETOS          
37600B|E/PLG. CALLE LOS INGAS  COD.405  Y LAS MACLURAS 391,00 S/ORD. 11709/2010                            |MAMONES             
37325 |ENTRE PROLONG. CALLE COD. 373-MANZ. 11171 II                                                        |LOS JACINTOS        
37375 |ENTRE RUTA PROV. Nº1-PROLONG. CALLE COD. 366B-LOS MEMBRILLOS                                        |L MEMBRILLOS        
34500 |ENTRE PROLONG. CALLE COD. 384.50-390A                                                               |PUBLICA             
34925 |ENTRE PROLONG.386G- 392G-TEODORA GONZALEZ                                                           |T. GONZALEZ         
35100 |ENTRE PROLONG. CALLE COD. 392G-PROLONG. CALLE COD. 404-DOMINGO FIGUEROA                             |D. FIGUEROA         
34900 | E/CALLE 392G-PROLONG.404 Y E/CALLE 410-PROLONG. 412 --HERMANA CERAFINA BOAGLIO                     |H. C BOAGLIO        
12950A|PUJATO, RAUL (PJE.PRIVADO) (E - O)                                                                  |PJE.PUJATO          
34700 |E/ CALLE COD. 392G-PROLONG. 404-HUMBERTO MANUEL ANNICHINI                                           |H M ANNICHINI       
38450 |ENTRE CALLE COD. 345-347.25-BENEDICTO DIAZ                                                          |B. DIAZ             
39400 |ENTRE CALLE COD. 347-353                                                                            |CARLOTA SORIA       
39600 |ENTRE CALLE COD. 347-353-HERMANOS ALASSIO                                                           |HNOS. ALASSIO       
39800 |AV. ANTONIO DE PETRE (LA GUARDIA) - ORDENANZA 5158                                                  |DE PETRE            
40000 |ENTRE PROLONG. CALLE COD. 345-PROLONG. 355                                                          |P. MARIO MENDOZA    
40200 |ENTRE PROLONG. CALLE COD. 345-353                                                                   |MAFALDA FRANCO      
41000 |ENTRE PROLONG. CALLE COD. 347-353                                                                   |ENRIQUE UCEDO       
31600 |E/CALLE COD. Nº401A-EX RAMAL FERROC. Y E/CALLE COD 411-415                                          |LOS ALERCES         
31800 |ENTRE CALLE COD 403A-EX RAMAL FFCC                                                                  |LOS AGUARIBAY       
31000 |ENTRE CALLEJÓN LABORIE COD. 415 Y LAS MORAS COD.411,00-                                             |AMBAY               
31200 |ENTRE CALLE COD. 411-415                                                                            |LOS LAPACHOS        
31400 |ENTRE CALLE COD. 401A-403A                                                                          |PUBLICA             
32000 |ENTRE CALLE COD 403A-EX RAMAL FFCC                                                                  |LAS TIPAS           
32200B|E/PROL CALLE  COD 397-EX RAMAL FFCC Y PROL 411-415                                                  |LAS CINACINAS       
32400B|E/CALLE COD 373-377 Y E/CALLE COD 403A-EX RAMAL FFCC                                                |LAS ENCINAS         
32600B|E/PROLONG. 363-371 Y E/383-387 Y E/ 399-EX FFCC Y E/COD. 409-415                                    |LOS CHAÑARES        
00250 |ROMERO, DOMINGO (S - N) (PJE.)                                                                      |DGO. ROMERO         
00375 |RECONQUISTA (DE BUENOS AIRES) (DGNAL. SE - NO)                                                      |RECONQUISTA         
00400 |ITALIA (S - N)                                                                                      |ITALIA              
00575 |COLON, CRISTOBAL (DGNAL. SE - NO)                                                                   |C. COLON            
00600 |RIO BAMBA (BATALLA DE) (S - N)                                                                      |RIO BAMBA           
00775A|MALVINAS, ISLAS (DGNAL. SE - NO)                                                                    |MALVINAS            
00775B|MALVINAS ARGENTINAS (DGNAL. SE - NO)                                                                |MALVINAS ARG.       
00785 |PUJATO CRESPO, MERCEDES (DGNAL. SE - NO) (PJE.)                                                     |PUJATO CRESPO       
00800 |DEFENSA (S - N)                                                                                     |DEFENSA             
00975 |INDEPENDENCIA (DGNAL. SE - NO)                                                                      |INDEPENDENCIA       
00985 |CAIDOS DEL A.R.A.GENERAL M.BELGRANO (DGNAL. SE-NO) (PJE)                                            |CDOS.BELGRANO       
01000 |TALCAHUANO (S - N)                                                                                  |TALCAHUANO          
01050 |FRANCISCO DE VILLALTA (S - N) (PJE)                                                                 |VILLALTA F.D.       
01175A|O'HIGGINS, GENERAL BERNARDO (DGNAL. SE - NO)                                                        |B. O'HIGGINS        
01175B|LIBERTAD (DGNAL. SE - NO)ORD. 8753-85                                                               |LIBERTAD            
01200 |ECHAGUE, CANONIGO SEVERO (S - N)SEG.PLANO DE URB.11699-                                             |CNGO. ECHAGUE       
01250 |ANGELELLI, MONSEÑOR (S - N) (PJE.)                                                                  |PJE.ANGELELLI       
01375 |BOLIVAR, GENERAL SIMON (DGNAL. SE - NO)                                                             |GRAL. BOLIVAR       
01400 |CULLEN, PATRICIO (S - N)                                                                            |PATRIC.CULLEN       
10665 |SIN NOMBRE (DGNAL. SE - NO) (PJE.)                                                                  |PJ.S/N 106.65       
01475 |BROWN, AVENIDA ALMIRANTE GUILLERMO (DGNAL. SE - NO)                                                 |AV.ALTE.BROWN       
01575 |CABAL, GOBERNADOR MARIANO (DGNAL. SE - NO)                                                          |MARIANO CABAL       
01600 |GODOY, ANTONIA (S - N)                                                                              |ANTONIA GODOY       
60000 |                                                                                                    |LAS FLORES II       
01625 |7 JEFES, AVENIDA (DGNAL. SO - NE) ORD. 2615/1928-                                                   |AVDA. 7 JEFES       
01700 |HERNANDEZ, JOSE (E - O)                                                                             |J. HERNANDEZ        
01700A|ARLT, ROBERTO (E - O) (PJE.) (Bº CHALET) ORD.9657/1993-                                             |ROBERTO ARLT        
01725 |LOYOLA, SAN IGNACIO DE (DGNAL. SO - NE)                                                             |S.I.DE LOYOLA       
01800A|GRAND BOURG (S - N)                                                                                 |GRAND BOURG         
01800B|PIEDRAS (BATALLA DE LAS) (S - N)                                                                    |PIEDRAS             
01900A|PIETRANERA, ROMULO (E - O)                                                                          |R. PIETRANERA       
01900B|RIO GALLEGO, CIUDAD DE (E - O)Bº CHALET-DCT.206-ORD.9802/94-                                        |RIO GALLEGO         
02000A|LAPRIDA, FRANCISCO NARCISO DE (S - N)                                                               |F. DE LAPRIDA       
60100 |                                                                                                    |CENTENARIO          
02000B|TACUARI (BATALLA DE) (S - N)                                                                        |TACUARI             
02100 |PASO, AVENIDA DOCTOR JUAN JOSE (E - O)                                                              |AV. J.J.PASO        
02125A|IRIGOYEN, HIPOLITO (DGNAL. SO - NE)                                                                 |DIAG.IRIGOYEN       
02125B|ILLIA, ARTURO (DGNAL. SO - NE)                                                                      |ARTURO ILLIA        
02150 |ALIGHIERI, DANTE (E - O) (PJE.)                                                                     |PJE.ALIGHIERI       
02200 |VELEZ SARSFIELD, DALMACIO (S - N)                                                                   |D.V.SARSFIELD       
02300 |JUJUY (E - O)                                                                                       |JUJUY               
10675 |FERNANDEZ MONTIEL, ALONSO (DGNAL. SE - NO) (PJE.) ORD./ DIRECCIÓN.SEGÚN PLANO DEL LOTEO TOTAL       |A.F. MONTIEL        
02350 |ANDRADE, OLEGARIO VICTOR (E - O) (PJE.)                                                             |PJE.O.ANDRADE       
11075A|SUAREZ, WALDINO (DGNAL. SE - NO)ORD.9606/1992-                                                      |W. SUAREZ           
02400 |DORREGO, CORONEL MANUEL (S - N)                                                                     |CNEL. DORREGO       
11075B|SIN NOMBRE (DGNAL. SE - NO)                                                                         |S/N 110.75-B        
02450 |PIZZORNO, ANTONIO M. (S - N) (PJE.)                                                                 |PJE.PIZZORNO        
14350 |SIN NOMBRE (E - O) (PJE.)                                                                           |PJ.S/N 143.50       
02500 |URUGUAY (E - O)                                                                                     |URUGUAY             
02550 |CERVANTES SAAVEDRA, MIGUEL DE (E - O) (PJE.)                                                        |PJE.CERVANTES       
60200 |                                                                                                    |EL POZO             
02600 |AVELLANEDA, NICOLAS (S - N)                                                                         |N. AVELLANEDA       
60300 |                                                                                                    |ACERIA              
02650A|ARZAMENDIA, CONCEJAL (S - N) (PJE.)                                                                 |PJ.ARZAMENDIA       
02650B|REPUBLICA (S - N) (PJE.)                                                                            |PJE.REPUBLICA       
02700 |ENTRE RIOS (E - O)                                                                                  |ENTRE RIOS          
02750 |ESCALADA DE SAN MARTIN, REMEDIOS DE (E - O) (PJE.)                                                  |PJ.R.ESCALADA       
02800 |GUEMES, GENERAL MARTIN MIGUEL DE (S - N)                                                            |GRAL. GUEMES        
60500 |                                                                                                    |LA ESMERALDA        
02900 |AMENABAR, DOCTOR JOSE DE (E - O)                                                                    |DR.J.AMENABAR       
02925 |BOOZ, MATEO (DGNAL. SO - NE)                                                                        |MATEO BOOZ          
02950 |VERA MUXICA, RAFAELA DE (E - O) (PJE.)                                                              |R.DE V.MUXICA       
03000 |LAVALLE, GENERAL JUAN (S - N)                                                                       |GRAL. LAVALLE       
60700 |                                                                                                    |DON BOSCO           
03050A|DIEGO RUIZ (S - N) (PJE.)                                                                           |PJ.DIEGO RUIZ       
03050B|PREBISTERO JOSE GUNTERN  (S- N) (PJE.) ORED.11493-   (ANTES ROLDAN BELISARIO)                       |PJE.GUNTERN J       
03100 |3 DE FEBRERO (E - O)                                                                                |3 DE FEBRERO        
03200 |MITRE, BARTOLOME (S - N)                                                                            |B. MITRE            
61000 |EMPADRONADO CON CALLE Y NUMERO (156979 AL 157088)                                                   |JUAN DE GARAY       
03250A|GRIGOLATTO (S - N) (PJE.)ORD.9970/95-                                                               |PJ.GRIGOLATTO       
03250B|SIN NOMBRE (S - N) (PJE.)                                                                           |PJE. 32.50-B        
61100 |C0100001/C0100062-UBIC.Y DOMICILIO CON CALLE Y NUMERO                                               |COOP.EMP.VIV.       
03300 |LOPEZ, GENERAL ESTANISLAO (E - O)                                                                   |GRAL. E.LOPEZ       
03350 |CULLEN, GOBERNADOR JOSE MARIA (E - O) (PJE.)                                                        |PJE.CULLEN          
03400 |ALBERDI, JUAN BAUTISTA (S - N)                                                                      |J. B. ALBERDI       
61200 |C0110001/C0110060-UBIC.Y DOMICILIO CON CALLE Y NUMERO                                               |LAS FLORES(M)       
03430 |SIN NOMBRE (S - N) (PJE.)                                                                           |PJE.S/N 34.30       
03450 |SIN NOMBRE (S - N) (PJE.)                                                                           |PJE.S/N 34.50       
03500 |ZAZPE, MONSEÑOR VICENTE FAUSTINO (E - O) (EX BS. AS.)                                               |VICENTE ZAZPE       
62000 |                                                                                                    |LAS FLORES I        
03550 |SIN NOMBRE (E - O) (PJE.)                                                                           |PJE.S/N 35.50       
03600 |SARMIENTO, DOMINGO FAUSTINO (S - N)                                                                 |D.F.SARMIENTO       
62200 |                                                                                                    |SAN LORENZO         
03700 |MORENO, DOCTOR MARIANO (E - O)                                                                      |M. MORENO           
03800 |NECOCHEA, GENERAL MARIANO (S - N)                                                                   |GRAL.NECOCHEA       
62300 |EMPADRONADO C/CALLE Y NUMERO (147659/713 Y 147929/983)                                              |T. CANDIOTI         
03900 |CORRIENTES (E - O)                                                                                  |CORRIENTES          
03950 |BAIGORRIA, JUAN BAUTISTA (E - O) (PJE.) S/ORD. 11825-                                               |PJE.BAIGORRIA       
50200 |                                                                                                    |CAS.DE CORREO       
04000 |CANDIOTI, MARCIAL (S - N)                                                                           |M. CANDIOTI         
04025 |PAZ, AVENIDA GENERAL JOSE MARIA (DGNAL. SO - NE)                                                    |AV.GRAL.J.PAZ       
04050 |SIN NOMBRE (S - N) (PJE.)                                                                           |PJE.S/N 40.50       
04100 |GARAY, JUAN DE (E - O)                                                                              |JUAN DE GARAY       
04200 |ALVEAR, GENERAL CARLOS MARIA DE (S - N)                                                             |GRAL.C.ALVEAR       
04250 |SAVOINI, ANGEL (S - N) (PJE.)                                                                       |PJE.A.SAVOINI       
04300 |TORRE, LISANDRO DE LA (E - O)                                                                       |L.DE LA TORRE       
50300 |                                                                                                    |SUC.DE CORREO       
04400 |LAS HERAS, GENERAL JUAN GREGORIO DE (S - N) S/PLANO 162167-2011-                                    |J.G.LAS HERAS       
04450A|BALBIN, RICARDO (S - N) (PJE.)                                                                      |R. BALBIN           
04450B|SIN NOMBRE (S - N) (PJE.)                                                                           |PJE. 44.50-B        
04500 |SALTA (E - O)                                                                                       |SALTA               
55000 |PUJATO PJE.-(PRIVADO)-SE LE ASIGNA CODIGO REAL(129.50-A) PARA FACILITAR LA DISTRIBUCION             |PJE.PUJATO          
04530 |DONNET, ENFERMERO (E - O) (PJE.)                                                                    |PJE. DONNET         
04550 |LINIERS Y BREMOND, SANTIAGO DE (E - O) (PJE.)                                                       |PJE.S.LINIERS       
10075 |CACIQUE BAIGORRITA (DGNAL. SE - NO)S/ORD.11825/2011-                                                |C. BAIGORRITA       
04570 |DE PAUL SAN VICENTE (E - O)(PJE.)ORD.9809/94                                                        |S.VTE.DE PAUL       
04600 |BELGRANO, GENERAL MANUEL (S - N)                                                                    |GRAL.BELGRANO       
10085 |CACIQUE CAFULCURÁ (DGNAL. SE - NO) (PJE.)                                                           |C. CAFULCURÁ        
04650 |SIN NOMBRE (S - N) (PJE.)                                                                           |PJE.S/N 46.50       
10095 |CACIQUE PINCEN (DGNAL. SE - NO) (PJE.)                                                              |C. PINCEN           
04675 |ESPAÑA (DGNAL. SE - NO)                                                                             |DGNAL. ESPAÑA       
04700 |MENDOZA (E - O)                                                                                     |MENDOZA             
